Alcaldia,Rubro,Monto ejercido
Alcaldía Álvaro Obregón,Otros,260997.1
Alcaldía Álvaro Obregón,Otros,18889773.23
Alcaldía Álvaro Obregón,Otros,23129943.45
Alcaldía Álvaro Obregón,Otros,1283799.76
Alcaldía Álvaro Obregón,Otros,253331.0
Alcaldía Álvaro Obregón,Otros,5182930.97
Alcaldía Álvaro Obregón,Otros,32761.0
Alcaldía Álvaro Obregón,Otros,40599.53
Alcaldía Álvaro Obregón,Otros,1727178.11
Alcaldía Álvaro Obregón,Otros,0.0
Alcaldía Álvaro Obregón,Otros,19592.0
Alcaldía Álvaro Obregón,Otros,1091709.8
Alcaldía Álvaro Obregón,Otros,94399.99
Alcaldía Álvaro Obregón,Otros,0.0
Alcaldía Álvaro Obregón,Otros,1379725.0
Alcaldía Álvaro Obregón,Otros,1153321.0
Alcaldía Álvaro Obregón,Otros,0.0
Alcaldía Álvaro Obregón,Otros,7978989.43
Alcaldía Álvaro Obregón,Otros,152148428.53
Alcaldía Álvaro Obregón,Otros,6434997.27
Alcaldía Álvaro Obregón,Otros,630443.53
Alcaldía Álvaro Obregón,Otros,39674.25
Alcaldía Álvaro Obregón,Otros,2534399.55
Alcaldía Álvaro Obregón,Otros,79997.51
Alcaldía Álvaro Obregón,Ordenación de Desechos,499999.65
Alcaldía Álvaro Obregón,Ordenación de Desechos,2838752.0
Alcaldía Álvaro Obregón,Ordenación de Desechos,287599.96
Alcaldía Álvaro Obregón,Ordenación de Desechos,443352.0
Alcaldía Álvaro Obregón,Ordenación de Desechos,0.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",1370529.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",1511055.08
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",291392.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",39608.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",690463.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",283509.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",8031.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",187628.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",73265.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",350219.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",53619.67
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",779319.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",473936.2
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",1613084.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",2375972.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",6213.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",1026074.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",778506.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",396219.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",2786247.19
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",440213.62
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",0.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",5152033.66
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",0.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",0.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",0.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",0.0
Alcaldía Álvaro Obregón,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",0.0
Alcaldía Álvaro Obregón,Protección de la Diversidad Biológica y del Paisaje,796240.5
Alcaldía Álvaro Obregón,Protección de la Diversidad Biológica y del Paisaje,0.0
Alcaldía Álvaro Obregón,Protección de la Diversidad Biológica y del Paisaje,0.0
Alcaldía Álvaro Obregón,Protección de la Diversidad Biológica y del Paisaje,199928.3
Alcaldía Álvaro Obregón,Protección de la Diversidad Biológica y del Paisaje,0.0
Alcaldía Álvaro Obregón,Protección de la Diversidad Biológica y del Paisaje,9995305.69
Alcaldía Álvaro Obregón,Otros de Protección Ambiental,0.0
Alcaldía Álvaro Obregón,Otros de Protección Ambiental,0.0
Alcaldía Álvaro Obregón,Otros de Protección Ambiental,0.0
Alcaldía Álvaro Obregón,Urbanización,223360.0
Alcaldía Álvaro Obregón,Urbanización,175109.0
Alcaldía Álvaro Obregón,Urbanización,755526.85
