Alcaldia,Rubro,Monto ejercido
Agencia de Atención Animal De La Ciudad De México,Derechos Humanos,190101.46000000002
Agencia de Atención Animal De La Ciudad De México,Otros Asuntos Sociales,10033559.86
Agencia de Atención Animal De La Ciudad De México,Protección Civil,0.0
Agencia de Gestión Urbana de La Ciudad De México,Alumbrado Público,1134777153.0300002
Agencia de Gestión Urbana de La Ciudad De México,Deporte y Recreación,24820373.99
Agencia de Gestión Urbana de La Ciudad De México,Derechos Humanos,2704925.05
Agencia de Gestión Urbana de La Ciudad De México,Educación Básica,211280255.61
Agencia de Gestión Urbana de La Ciudad De México,Función Pública,265162714.70000002
Agencia de Gestión Urbana de La Ciudad De México,Innovación,26048162.87
Agencia de Gestión Urbana de La Ciudad De México,Ordenación de Desechos,3151571238.96
Agencia de Gestión Urbana de La Ciudad De México,Otros,126043935.62000002
Agencia de Gestión Urbana de La Ciudad De México,Protección Civil,158707796.09
Agencia de Gestión Urbana de La Ciudad De México,Protección de la Diversidad Biológica y del Paisaje,573321586.6500002
Agencia de Gestión Urbana de La Ciudad De México,Urbanización,3086676809.179998
"Agencia de Promoción de Inversiones y Desarrollo para la Ciudad de México PROCDMX, S.A. De C.V.",Derechos Humanos,946202.0
"Agencia de Promoción de Inversiones y Desarrollo para la Ciudad de México PROCDMX, S.A. De C.V.",Protección Civil,10739.0
"Agencia de Promoción de Inversiones y Desarrollo para la Ciudad de México PROCDMX, S.A. De C.V.",Urbanización,14531546.850000001
Agencia de Protección Sanitaria,Derechos Humanos,20000.34
Agencia de Protección Sanitaria,Otros,239726.18
Agencia de Protección Sanitaria,Prestación de Servicios de Salud a la Comunidad,19409154.710000005
Agencia de Protección Sanitaria,Protección Civil,0.0
Agencia de Resiliencia de La Ciudad De México,Derechos Humanos,315163.02
Agencia de Resiliencia de La Ciudad De México,Desarrollo Comunitario,15775215.950000001
Agencia de Resiliencia de La Ciudad De México,Protección Civil,0.0
Alcaldía Azcapotzalco,Abastecimiento de Agua,42205692.870000005
Alcaldía Azcapotzalco,Alimentación y Nutrición,1755690.58
Alcaldía Azcapotzalco,Alumbrado Público,150956221.85999998
Alcaldía Azcapotzalco,Asuntos Económicos y Comerciales en General,37307087.42
Alcaldía Azcapotzalco,Asuntos Jurídicos,0.0
Alcaldía Azcapotzalco,Asuntos Laborales Generales,2923371.25
Alcaldía Azcapotzalco,Cultura,44847343.95
Alcaldía Azcapotzalco,Deporte y Recreación,17803680.040000003
Alcaldía Azcapotzalco,Derechos Humanos,792550.4299999999
Alcaldía Azcapotzalco,Educación Básica,79373710.84000002
Alcaldía Azcapotzalco,Familia e Hijos,1675800.0
Alcaldía Azcapotzalco,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",49398021.379999995
Alcaldía Azcapotzalco,Ordenación de Desechos,175601893.99
