Clave de entidad,Entidad federativa,Clave de municipio,Municipio,"Población 2010*
(leer nota al final del cuadro)","Población 2015*
(leer nota al final del cuadro)",Pobreza,Pobreza extrema,Pobreza moderada,Vulnerables por carencia social,Vulnerables por ingreso,No pobres y no vulnerables,Rezago educativo,Carencia por acceso a los servicios de salud,Carencia por acceso a la seguridad social,Carencia por calidad y espacios de la vivienda,Carencia por acceso a los servicios básicos en la vivienda,Carencia por acceso a la alimentación,Población con al menos una carencia social,Población con tres o más carencias sociales, Población con ingreso inferior a la línea de bienestar,Población con ingreso inferior a la línea de bienestar mínimo,
,,,,,,"Personas
2015","Personas
2015","Personas
2015","Personas
2015","Personas
2015","Personas
2015","Personas
2015","Personas
2015","Personas
2015","Personas
2015","Personas
2015","Personas
2015","Personas
2015","Personas
2015","Personas
2015","Personas
2015",
01,Aguascalientes,01001,Aguascalientes,"801,807","861,446","224,949","13,650","211,299","227,805","98,641","310,052","100,530","129,728","313,557","32,153","25,494","154,658","452,753","63,220","323,590","86,166",
01,Aguascalientes,01002,Asientos,"48,358","46,624","25,169","2,067","23,101","13,544","3,577","4,335","9,244","2,788","32,175","3,633","7,553","11,494","38,713","6,594","28,745","11,394",
01,Aguascalientes,01003,Calvillo,"57,627","52,773","29,951","1,650","28,301","14,561","3,348","4,913","12,254","5,212","38,857","2,746","4,082","9,148","44,513","5,528","33,299","14,118",
01,Aguascalientes,01004,Cosío,"14,929","15,321","6,620",432,"6,187","5,004","1,232","2,466","2,251",846,"9,608","1,215","1,167","3,175","11,623","1,522","7,852","2,546",
01,Aguascalientes,01005,Jesús María,"102,211","125,750","31,479","2,095","29,385","47,831","8,314","38,126","21,712","19,076","56,595","10,303","7,977","23,562","79,310","14,225","39,794","9,984",
01,Aguascalientes,01006,Pabellón de Arteaga,"40,659","45,733","15,972","1,005","14,966","13,802","4,823","11,137","7,008","4,821","22,778","2,651","2,669","8,852","29,773","4,186","20,794","6,305",
01,Aguascalientes,01007,Rincón de Romos,"48,526","50,895","25,483","1,660","23,824","11,833","5,014","8,565","7,427","5,265","30,964","3,979","3,895","11,533","37,316","5,373","30,498","11,671",
01,Aguascalientes,01008,San José de Gracia,"7,160","8,768","5,228",464,"4,764","1,945",388,"1,206","1,340",459,"6,551",594,752,"1,832","7,173",882,"5,616","2,475",
01,Aguascalientes,01009,Tepezalá,"20,668","20,484","10,378",643,"9,735","6,393","1,447","2,266","4,258","1,690","13,965","1,257","2,142","4,391","16,771","2,299","11,825","4,305",
